"car_name"|"car_mileage"|"car_transmission"|"car_location"|"car_price"|"car_instalment_mth_amt"
"2017 Proton Saga Standard 1.3"|"54,812 km"|"Automatic"|"Kuala Lumpur"|"27,000"|"RM 296/mo"
"2017 Perodua Myvi SE 1.5"|"112,762 km"|"Automatic"|"Selangor"|"37,800"|"RM 414/mo"
"2017 Perodua Myvi SE 1.5"|"100,839 km"|"Automatic"|"Pahang"|"37,800"|"RM 414/mo"
"2020 Perodua Myvi G 1.3"|"61,210 km"|"Automatic"|"Terengganu"|"41,300"|"RM 453/mo"
"2019 Proton Saga Standard 1.3"|"43,183 km"|"Automatic"|"Kuala Lumpur"|"30,000"|"RM 329/mo"
"2015 Honda Jazz S i-VTEC 1.5"|"117,246 km"|"Automatic"|"Pahang"|"41,800"|"RM 458/mo"
"2014 Citroen DS4 THP 1.6"|"61,970 km"|"Automatic"|"Melaka"|"23,900"|"RM 262/mo"
"2017 Volkswagen Tiguan 280 TSI Highline 1.4"|"95,383 km"|"Automatic"|"Selangor"|"74,600"|"RM 817/mo"
"2019 Honda City E i-VTEC 1.5"|"93,880 km"|"Automatic"|"Kuala Lumpur"|"60,900"|"RM 667/mo"
"2018 Perodua Bezza X Premium 1.3"|"93,291 km"|"Automatic"|"Negeri Sembilan"|"35,300"|"RM 387/mo"
"2019 Toyota Yaris J 1.5"|"46,068 km"|"Automatic"|"Kuala Lumpur"|"60,000"|"RM 658/mo"
"2019 Toyota Yaris E 1.5"|"39,388 km"|"Automatic"|"Johor"|"62,000"|"RM 679/mo"
"2017 Toyota Vios E 1.5"|"109,798 km"|"Automatic"|"Kuala Lumpur"|"55,300"|"RM 606/mo"
"2019 Peugeot 3008 THP Allure 1.6"|"62,245 km"|"Automatic"|"Selangor"|"76,000"|"RM 833/mo"
"2011 Perodua Myvi SE 1.5"|"129,386 km"|"Automatic"|"Kuala Lumpur"|"21,000"|"RM 230/mo"
"2015 Honda City E i-VTEC 1.5"|"123,356 km"|"Automatic"|"Pulau Pinang"|"37,800"|"RM 414/mo"
"2015 Perodua Myvi Advance 1.5"|"101,436 km"|"Automatic"|"Melaka"|"32,800"|"RM 359/mo"
"2014 Toyota Vios E 1.5"|"136,113 km"|"Automatic"|"Melaka"|"36,800"|"RM 403/mo"
"2017 Perodua Bezza X Premium 1.3"|"69,189 km"|"Automatic"|"Selangor"|"34,800"|"RM 381/mo"
"2019 Proton Iriz Premium 1.6"|"69,277 km"|"Automatic"|"Selangor"|"35,800"|"RM 392/mo"
"2017 Honda City E i-VTEC 1.5"|"115,865 km"|"Automatic"|"Johor"|"54,000"|"RM 592/mo"
"2015 Honda City S+ i-VTEC 1.5"|"126,475 km"|"Automatic"|"Selangor"|"36,300"|"RM 398/mo"
"2018 Perodua Myvi H 1.5"|"91,803 km"|"Automatic"|"Negeri Sembilan"|"42,800"|"RM 469/mo"
"2017 Perodua Bezza G Standard 1.0"|"98,575 km"|"Automatic"|"Selangor"|"30,300"|"RM 332/mo"
"2016 Perodua Myvi SE 1.5"|"79,042 km"|"Automatic"|"Melaka"|"36,000"|"RM 395/mo"
"2017 Proton Persona Standard 1.6"|"101,969 km"|"Automatic"|"Kuala Lumpur"|"31,000"|"RM 340/mo"
"2022 Honda City RS e-HEV 1.5"|"34,384 km"|"Automatic"|"Pulau Pinang"|"93,000"|"RM 1,019/mo"
"2019 Proton Persona Standard 1.6"|"93,003 km"|"Automatic"|"Pulau Pinang"|"34,800"|"RM 381/mo"
"2016 Honda Jazz V i-VTEC 1.5"|"141,542 km"|"Automatic"|"Selangor"|"55,900"|"RM 613/mo"
"2023 Toyota Yaris G 1.5"|"10,874 km"|"Automatic"|"Pulau Pinang"|"82,400"|"RM 903/mo"
"2018 Mazda CX-5 SKYACTIV-G GL 2.0"|"101,344 km"|"Automatic"|"Pulau Pinang"|"93,300"|"RM 1,022/mo"
"2021 Perodua AXIA SE 1.0"|"44,907 km"|"Automatic"|"Perak"|"39,400"|"RM 432/mo"
"2022 Honda City V i-VTEC 1.5"|"31,373 km"|"Automatic"|"Selangor"|"78,800"|"RM 864/mo"
"2013 Volkswagen Passat TSI 1.8"|"177,161 km"|"Automatic"|"Kuala Lumpur"|"20,700"|"RM 227/mo"
"2012 Perodua Alza EZ 1.5"|"170,057 km"|"Automatic"|"Selangor"|"24,000"|"RM 263/mo"
"2011 Honda Accord i-VTEC VTi-L 2.4"|"155,284 km"|"Automatic"|"Johor"|"25,800"|"RM 283/mo"
"2018 Perodua Myvi AV 1.5"|"75,863 km"|"Automatic"|"Negeri Sembilan"|"46,000"|"RM 504/mo"
"2019 Proton Persona Standard 1.6"|"66,254 km"|"Automatic"|"Kuala Lumpur"|"34,500"|"RM 378/mo"
